iso2c,country,year,growth,growth_pc,gdp_ppp,gdp_ppp_pc,unemployment,population
DE,Germany,1965,,,,,,75963695
DE,Germany,1966,,,,,,76600311
DE,Germany,1967,,,,,,76951336
DE,Germany,1968,,,,,,77294314
DE,Germany,1969,,,,,,77909682
DE,Germany,1970,,,,,,78169289
DE,Germany,1971,3.13269973811248,2.94365017654113,,,,78312842
DE,Germany,1972,4.30034133420232,3.80247601581306,,,,78688452
DE,Germany,1973,4.77748689217385,4.44801719894595,,,,78936666
DE,Germany,1974,0.890068740587211,0.850760324104428,,,,78967433
DE,Germany,1975,-0.866738894227723,-0.496434234538626,,,,78673554
DE,Germany,1976,4.94925837665457,5.40021211134318,,,,78336950
DE,Germany,1977,3.34721812001672,3.58143711174701,,,,78159814
DE,Germany,1978,3.00849285673846,3.09818162904907,,,,78091820
DE,Germany,1979,4.15036334066737,4.10433134190953,,,,78126350
DE,Germany,1980,1.40882863572145,1.19869390758107,,,,78288576
DE,Germany,1981,0.529240556536067,0.376242532945767,,,,78407907
DE,Germany,1982,-0.394840774795966,-0.300057816359015,,,,78333366
DE,Germany,1983,1.57241016952116,1.83903418369323,,,,78128282
DE,Germany,1984,2.82294780997955,3.17898719416294,,,,77858685
DE,Germany,1985,2.32793526226367,2.55688360699232,,,,77684873
DE,Germany,1986,2.28733922127036,2.24053499792906,,,,77720436
DE,Germany,1987,1.40215162742055,1.24649968578119,,,,77839920
DE,Germany,1988,3.70723565949591,3.30286372189374,,,,78144619
DE,Germany,1989,3.89655169214447,3.09617999996819,,,,78751283
DE,Germany,1990,5.25500608278011,4.35163905422439,2908637508014.48,36617.4819798761,,79433029
DE,Germany,1991,5.10826152190214,4.34522005538682,3057218318647.99,38208.5921506433,5.32,80013896
DE,Germany,1992,1.923076559054,1.15104633199144,3116010967493.02,38648.3907490989,6.32,80624598
DE,Germany,1993,-0.976849818160517,-1.62568428424478,3085572220023.2,38020.0899345773,7.68,81156363
DE,Germany,1994,2.39189207051331,2.03735420973175,3159375777283.9,38794.6938374032,8.73,81438348
DE,Germany,1995,1.54414649556445,1.24614187560326,3208161167630.54,39278.1307628231,8.16,81678051
DE,Germany,1996,0.80582289149001,0.514437284599765,3234013264715.2,39480.1921121609,8.83,81914831
DE,Germany,1997,1.79216082094591,1.6433342731292,3291971983389.62,40128.9836402373,9.86,82034771
DE,Germany,1998,2.01393278519326,1.99848532107309,3358270086442.48,40930.9554877833,9.79,82047195
DE,Germany,1999,1.88726115399444,1.82142803058096,3421649413230.12,41676.4833842224,8.86,82100243
DE,Germany,2000,2.91250296366708,2.77322125091402,3521305053796.75,42832.2644780673,7.92,82211508
DE,Germany,2001,1.68146848097079,1.5105582606794,3580514688395.17,43479.2707873768,7.77,82349925
DE,Germany,2002,-0.197973834771361,-0.365628327264105,3573426206162,43320.2982568903,8.48,82488495
DE,Germany,2003,-0.700116686114356,-0.755077166602604,3548408053026.68,42993.1965762484,9.78,82534176
DE,Germany,2004,1.17508813160987,1.1970553521185,3590104974918.89,43507.8489369112,10.73,82516260
DE,Germany,2005,0.731707163554191,0.788917115869921,3616374030199.48,43851.0898039213,11.17,82469422
DE,Germany,2006,3.816441912988,3.9336103307084,3754390844418.43,45576.0208025765,10.25,82376451
DE,Germany,2007,2.97645513131597,3.11424588261349,3866138603356.78,46995.3701538799,8.66,82266372
